{'?': <absl.app.HelpFlag object at 0x7fe7d63834d0>,
 'alsologtostderr': <absl.flags._flag.BooleanFlag object at 0x7fe7e2053890>,
 'batch_size': <absl.flags._flag.Flag object at 0x7fe7d6383110>,
 'beta1': <absl.flags._flag.Flag object at 0x7fe7d637bd50>,
 'c_dim': <absl.flags._flag.Flag object at 0x7fe7d6383210>,
 'checkpoint_dir': <absl.flags._flag.Flag object at 0x7fe7d6383350>,
 'data_format': <absl.flags._flag.Flag object at 0x7fe7d6383290>,
 'datafile': <absl.flags._flag.Flag object at 0x7fe7d637bb90>,
 'dataset': <absl.flags._flag.Flag object at 0x7fe7d637ba10>,
 'df_dim': <absl.flags._flag.Flag object at 0x7fe7d6383090>,
 'epoch': <absl.flags._flag.Flag object at 0x7fe7d637bc10>,
 'experiment': <absl.flags._flag.Flag object at 0x7fe7d6383410>,
 'flip_labels': <absl.flags._flag.Flag object at 0x7fe7d637bdd0>,
 'gf_dim': <absl.flags._flag.Flag object at 0x7fe7d637bfd0>,
 'help': <absl.app.HelpFlag object at 0x7fe7d63834d0>,
 'helpfull': <absl.app.HelpfullFlag object at 0x7fe7d6383550>,
 'helpshort': <absl.app.HelpshortFlag object at 0x7fe7d6383510>,
 'helpxml': <absl.app.HelpXMLFlag object at 0x7fe7d6383590>,
 'learning_rate': <absl.flags._flag.Flag object at 0x7fe7d637bcd0>,
 'log_dir': <absl.flags._flag.Flag object at 0x7fe7e2053950>,
 'logtostderr': <absl.flags._flag.BooleanFlag object at 0x7fe7e2053790>,
 'nd_layers': <absl.flags._flag.Flag object at 0x7fe7d637bed0>,
 'ng_layers': <absl.flags._flag.Flag object at 0x7fe7d637bf50>,
 'only_check_args': <absl.flags._flag.BooleanFlag object at 0x7fe7e1fe00d0>,
 'op_conversion_fallback_to_while_loop': <absl.flags._flag.BooleanFlag object at 0x7fe7e07f4650>,
 'output_size': <absl.flags._flag.Flag object at 0x7fe7d6383190>,
 'pdb_post_mortem': <absl.flags._flag.BooleanFlag object at 0x7fe7e204b750>,
 'profile_file': <absl.flags._flag.Flag object at 0x7fe7e1fe0050>,
 'run_with_pdb': <absl.flags._flag.BooleanFlag object at 0x7fe7e2048c10>,
 'run_with_profiling': <absl.flags._flag.BooleanFlag object at 0x7fe7e204b2d0>,
 'save_every_step': <absl.flags._flag.BooleanFlag object at 0x7fe7d6383450>,
 'showprefixforinfo': <absl.flags._flag.BooleanFlag object at 0x7fe7e2053b50>,
 'stderrthreshold': <absl.logging._StderrthresholdFlag object at 0x7fe7e2053ad0>,
 'test_random_seed': <absl.flags._flag.Flag object at 0x7fe7d68fe0d0>,
 'test_randomize_ordering_seed': <absl.flags._flag.Flag object at 0x7fe7d6912190>,
 'test_srcdir': <absl.flags._flag.Flag object at 0x7fe7d690d390>,
 'test_tmpdir': <absl.flags._flag.Flag object at 0x7fe7d690d4d0>,
 'transpose_matmul_b': <absl.flags._flag.BooleanFlag object at 0x7fe7d63832d0>,
 'use_cprofile_for_profiling': <absl.flags._flag.BooleanFlag object at 0x7fe7e1fe0090>,
 'v': <absl.logging._VerbosityFlag object at 0x7fe7e2053990>,
 'verbose': <absl.flags._flag.BooleanFlag object at 0x7fe7d6383490>,
 'verbosity': <absl.logging._VerbosityFlag object at 0x7fe7e2053990>,
 'xml_output_file': <absl.flags._flag.Flag object at 0x7fe7d68a8710>,
 'z_dim': <absl.flags._flag.Flag object at 0x7fe7d637be50>}
(1000, 1024, 1024)
1.4988794
-0.099815674
Epoch: [ 0] Step: [   0/ 200] time: 62.7795, d_loss: 11.42215252, g_loss: 21.34828186
Epoch: [ 0] Step: [   1/ 200] time: 68.7948, d_loss: 18.47719002, g_loss: 13.17077065
Epoch: [ 0] Step: [   2/ 200] time: 74.8626, d_loss: 15.96259499, g_loss: 9.25017738
Epoch: [ 0] Step: [   3/ 200] time: 80.8783, d_loss: 19.63696861, g_loss: 14.62388802
Epoch: [ 0] Step: [   4/ 200] time: 86.7582, d_loss: 33.29922485, g_loss: 44.02303314
Epoch: [ 0] Step: [   5/ 200] time: 92.8186, d_loss: 16.13962173, g_loss: 51.29089355
Epoch: [ 0] Step: [   6/ 200] time: 98.8851, d_loss: 52.20920944, g_loss: 8.76296329
Epoch: [ 0] Step: [   7/ 200] time: 104.9871, d_loss: 16.93670082, g_loss: 13.69731426
Epoch: [ 0] Step: [   8/ 200] time: 111.0480, d_loss: 24.57540512, g_loss: 3.21908498
Epoch: [ 0] Step: [   9/ 200] time: 117.1381, d_loss: 70.31938171, g_loss: 0.00000000
Epoch: [ 0] Step: [  10/ 200] time: 123.3998, d_loss: 74.68359375, g_loss: 24.40631294
Epoch: [ 0] Step: [  11/ 200] time: 129.4792, d_loss: 53.70001984, g_loss: 8.07926750
Epoch: [ 0] Step: [  12/ 200] time: 135.6592, d_loss: 39.59308624, g_loss: 15.57036781
Epoch: [ 0] Step: [  13/ 200] time: 141.7067, d_loss: 84.75128937, g_loss: 27.63980103
Epoch: [ 0] Step: [  14/ 200] time: 147.6773, d_loss: 38.40012360, g_loss: 67.41516113
Epoch: [ 0] Step: [  15/ 200] time: 154.0128, d_loss: 52.15065765, g_loss: 17.51320076
Epoch: [ 0] Step: [  16/ 200] time: 160.1887, d_loss: 98.09187317, g_loss: 2.18458462
Epoch: [ 0] Step: [  17/ 200] time: 166.3463, d_loss: 59.76355743, g_loss: 0.00000000
Epoch: [ 0] Step: [  18/ 200] time: 172.5291, d_loss: 10.31536674, g_loss: 72.32494354
Epoch: [ 0] Step: [  19/ 200] time: 178.5180, d_loss: 145.89015198, g_loss: 9.54330349
Epoch: [ 0] Step: [  20/ 200] time: 184.8251, d_loss: 21.23397446, g_loss: 0.00000008
Epoch: [ 0] Step: [  21/ 200] time: 191.0856, d_loss: 2.02756429, g_loss: 80.38407135
Epoch: [ 0] Step: [  22/ 200] time: 197.3239, d_loss: 133.69328308, g_loss: 0.00000015
Epoch: [ 0] Step: [  23/ 200] time: 203.3923, d_loss: 95.82280731, g_loss: 10.57494831
Epoch: [ 0] Step: [  24/ 200] time: 209.7937, d_loss: 42.05359650, g_loss: 88.65600586
Epoch: [ 0] Step: [  25/ 200] time: 215.9832, d_loss: 0.50325626, g_loss: 39.74618149
Epoch: [ 0] Step: [  26/ 200] time: 222.0443, d_loss: 33.03624725, g_loss: 51.32762527
Epoch: [ 0] Step: [  27/ 200] time: 228.2527, d_loss: 0.00000059, g_loss: 57.62746429
Epoch: [ 0] Step: [  28/ 200] time: 234.5342, d_loss: 51.50714111, g_loss: 6.58673477
Epoch: [ 0] Step: [  29/ 200] time: 240.6472, d_loss: 114.87419128, g_loss: 0.00000000
Epoch: [ 0] Step: [  30/ 200] time: 246.9180, d_loss: 29.79049683, g_loss: 101.08692932
Epoch: [ 0] Step: [  31/ 200] time: 252.9902, d_loss: 1.10438561, g_loss: 31.78253746
Epoch: [ 0] Step: [  32/ 200] time: 259.4245, d_loss: 46.79547882, g_loss: 0.00000000
Epoch: [ 0] Step: [  33/ 200] time: 265.5886, d_loss: 24.16750336, g_loss: 43.59683228
Epoch: [ 0] Step: [  34/ 200] time: 271.8904, d_loss: 75.14874268, g_loss: 0.00000000
Epoch: [ 0] Step: [  35/ 200] time: 278.0025, d_loss: 4.09021997, g_loss: 111.56623840
Epoch: [ 0] Step: [  36/ 200] time: 284.3203, d_loss: 5.44242954, g_loss: 28.80813599
Epoch: [ 0] Step: [  37/ 200] time: 290.5411, d_loss: 12.32426643, g_loss: 166.11477661
Epoch: [ 0] Step: [  38/ 200] time: 296.7449, d_loss: 0.00000000, g_loss: 0.00503488
Epoch: [ 0] Step: [  39/ 200] time: 302.7134, d_loss: 289.25518799, g_loss: 0.00000000
Epoch: [ 0] Step: [  40/ 200] time: 308.8412, d_loss: 0.00000000, g_loss: 187.54150391
Epoch: [ 0] Step: [  41/ 200] time: 315.0376, d_loss: 0.00916366, g_loss: 108.05281830
Epoch: [ 0] Step: [  42/ 200] time: 321.2279, d_loss: 10.93236923, g_loss: 176.74551392
Epoch: [ 0] Step: [  43/ 200] time: 327.3553, d_loss: 88.05068207, g_loss: 11.75441837
Epoch: [ 0] Step: [  44/ 200] time: 333.6133, d_loss: 0.00000303, g_loss: 144.75047302
Epoch: [ 0] Step: [  45/ 200] time: 339.9816, d_loss: 12.04127312, g_loss: 78.55641174
Epoch: [ 0] Step: [  46/ 200] time: 346.0966, d_loss: 11.76378632, g_loss: 36.06908798
Epoch: [ 0] Step: [  47/ 200] time: 352.1180, d_loss: 26.03602600, g_loss: 304.36932373
Epoch: [ 0] Step: [  48/ 200] time: 358.3208, d_loss: 0.92013347, g_loss: 215.56600952
Epoch: [ 0] Step: [  49/ 200] time: 364.2645, d_loss: 126.53753662, g_loss: 7.92497635
Epoch: [ 0] Step: [  50/ 200] time: 370.3475, d_loss: 0.03454272, g_loss: 96.70682526
Epoch: [ 0] Step: [  51/ 200] time: 376.4962, d_loss: 0.00000012, g_loss: 209.53816223
Epoch: [ 0] Step: [  52/ 200] time: 382.9388, d_loss: 2.80055666, g_loss: 31.24505997
Epoch: [ 0] Step: [  53/ 200] time: 388.9674, d_loss: 109.78086853, g_loss: 0.00000000
