{'?': <absl.app.HelpFlag object at 0x7feac8126450>,
 'alsologtostderr': <absl.flags._flag.BooleanFlag object at 0x7fead3df6790>,
 'batch_size': <absl.flags._flag.Flag object at 0x7feac8126090>,
 'beta1': <absl.flags._flag.Flag object at 0x7feac811fcd0>,
 'c_dim': <absl.flags._flag.Flag object at 0x7feac8126190>,
 'checkpoint_dir': <absl.flags._flag.Flag object at 0x7feac81262d0>,
 'data_format': <absl.flags._flag.Flag object at 0x7feac8126210>,
 'datafile': <absl.flags._flag.Flag object at 0x7feac811fb10>,
 'dataset': <absl.flags._flag.Flag object at 0x7feac811f990>,
 'df_dim': <absl.flags._flag.Flag object at 0x7feac811ffd0>,
 'epoch': <absl.flags._flag.Flag object at 0x7feac811fb90>,
 'experiment': <absl.flags._flag.Flag object at 0x7feac8126390>,
 'flip_labels': <absl.flags._flag.Flag object at 0x7feac811fd50>,
 'gf_dim': <absl.flags._flag.Flag object at 0x7feac811ff50>,
 'help': <absl.app.HelpFlag object at 0x7feac8126450>,
 'helpfull': <absl.app.HelpfullFlag object at 0x7feac81264d0>,
 'helpshort': <absl.app.HelpshortFlag object at 0x7feac8126490>,
 'helpxml': <absl.app.HelpXMLFlag object at 0x7feac8126510>,
 'learning_rate': <absl.flags._flag.Flag object at 0x7feac811fc50>,
 'log_dir': <absl.flags._flag.Flag object at 0x7fead3df6850>,
 'logtostderr': <absl.flags._flag.BooleanFlag object at 0x7fead3df6690>,
 'nd_layers': <absl.flags._flag.Flag object at 0x7feac811fe50>,
 'ng_layers': <absl.flags._flag.Flag object at 0x7feac811fed0>,
 'only_check_args': <absl.flags._flag.BooleanFlag object at 0x7fead3df6f90>,
 'op_conversion_fallback_to_while_loop': <absl.flags._flag.BooleanFlag object at 0x7fead2596550>,
 'output_size': <absl.flags._flag.Flag object at 0x7feac8126110>,
 'pdb_post_mortem': <absl.flags._flag.BooleanFlag object at 0x7fead3dee650>,
 'profile_file': <absl.flags._flag.Flag object at 0x7fead3df6f10>,
 'run_with_pdb': <absl.flags._flag.BooleanFlag object at 0x7fead3decb10>,
 'run_with_profiling': <absl.flags._flag.BooleanFlag object at 0x7fead3dee1d0>,
 'save_every_step': <absl.flags._flag.BooleanFlag object at 0x7feac81263d0>,
 'showprefixforinfo': <absl.flags._flag.BooleanFlag object at 0x7fead3df6a50>,
 'stderrthreshold': <absl.logging._StderrthresholdFlag object at 0x7fead3df69d0>,
 'test_random_seed': <absl.flags._flag.Flag object at 0x7feac869df90>,
 'test_randomize_ordering_seed': <absl.flags._flag.Flag object at 0x7feac86b4090>,
 'test_srcdir': <absl.flags._flag.Flag object at 0x7feac86b1290>,
 'test_tmpdir': <absl.flags._flag.Flag object at 0x7feac86b13d0>,
 'transpose_matmul_b': <absl.flags._flag.BooleanFlag object at 0x7feac8126250>,
 'use_cprofile_for_profiling': <absl.flags._flag.BooleanFlag object at 0x7fead3df6f50>,
 'v': <absl.logging._VerbosityFlag object at 0x7fead3df6890>,
 'verbose': <absl.flags._flag.BooleanFlag object at 0x7feac8126410>,
 'verbosity': <absl.logging._VerbosityFlag object at 0x7fead3df6890>,
 'xml_output_file': <absl.flags._flag.Flag object at 0x7feac864a610>,
 'z_dim': <absl.flags._flag.Flag object at 0x7feac811fdd0>}
Epoch: [ 0] Step: [   0/ 125] time: 39.7479, d_loss: 0.55289328, g_loss: 8.89543533
Epoch: [ 0] Step: [   1/ 125] time: 46.1720, d_loss: 10.79723454, g_loss: -9.18782425
Epoch: [ 0] Step: [   2/ 125] time: 52.4711, d_loss: 2.03580451, g_loss: 5.75158596
Epoch: [ 0] Step: [   3/ 125] time: 58.5232, d_loss: 1.72144568, g_loss: 1.76169038
Epoch: [ 0] Step: [   4/ 125] time: 65.0561, d_loss: 0.93846899, g_loss: 4.04121590
Epoch: [ 0] Step: [   5/ 125] time: 71.5306, d_loss: 1.80032229, g_loss: 0.74670368
Epoch: [ 0] Step: [   6/ 125] time: 77.8317, d_loss: 1.10132253, g_loss: 22.29392052
Epoch: [ 0] Step: [   7/ 125] time: 84.2748, d_loss: 13.19855022, g_loss: -12.18474960
Epoch: [ 0] Step: [   8/ 125] time: 90.8900, d_loss: 1.34308147, g_loss: 20.08709335
Epoch: [ 0] Step: [   9/ 125] time: 96.8821, d_loss: 17.00285339, g_loss: -15.65425396
Epoch: [ 0] Step: [  10/ 125] time: 103.0415, d_loss: 2.49707079, g_loss: 31.44005585
Epoch: [ 0] Step: [  11/ 125] time: 109.3203, d_loss: 10.99190998, g_loss: -9.22699356
Epoch: [ 0] Step: [  12/ 125] time: 115.6294, d_loss: 1.59682310, g_loss: 27.28706551
Epoch: [ 0] Step: [  13/ 125] time: 122.0088, d_loss: 1.95064723, g_loss: 0.61100042
Epoch: [ 0] Step: [  14/ 125] time: 128.3061, d_loss: 0.12386951, g_loss: 19.57148552
Epoch: [ 0] Step: [  15/ 125] time: 134.5342, d_loss: 19.80943298, g_loss: -18.64049339
Epoch: [ 0] Step: [  16/ 125] time: 140.8790, d_loss: 2.61924696, g_loss: 54.97010040
Epoch: [ 0] Step: [  17/ 125] time: 146.8063, d_loss: 0.06923145, g_loss: 25.89034653
Epoch: [ 0] Step: [  18/ 125] time: 152.9301, d_loss: 33.62004852, g_loss: -32.66020966
Epoch: [ 0] Step: [  19/ 125] time: 158.7934, d_loss: 0.74491280, g_loss: 50.90972900
Epoch: [ 0] Step: [  20/ 125] time: 164.9031, d_loss: 0.03835403, g_loss: 32.82312012
Epoch: [ 0] Step: [  21/ 125] time: 170.9062, d_loss: 24.95371628, g_loss: -24.97876358
Epoch: [ 0] Step: [  22/ 125] time: 177.1152, d_loss: 1.92963696, g_loss: 49.94972229
Epoch: [ 0] Step: [  23/ 125] time: 183.0617, d_loss: 0.16309211, g_loss: 27.58504105
Epoch: [ 0] Step: [  24/ 125] time: 189.0322, d_loss: 28.03215790, g_loss: -28.16580391
Epoch: [ 0] Step: [  25/ 125] time: 194.9644, d_loss: 1.08341968, g_loss: 61.24648285
Epoch: [ 0] Step: [  26/ 125] time: 201.1100, d_loss: 0.00000000, g_loss: 50.08506775
Epoch: [ 0] Step: [  27/ 125] time: 207.1585, d_loss: 0.07330729, g_loss: 11.31333923
Epoch: [ 0] Step: [  28/ 125] time: 213.3387, d_loss: 27.98361015, g_loss: -25.66023827
Epoch: [ 0] Step: [  29/ 125] time: 219.2210, d_loss: 1.09821451, g_loss: 89.90679169
Epoch: [ 0] Step: [  30/ 125] time: 225.3619, d_loss: 0.00653419, g_loss: 92.48414612
Epoch: [ 0] Step: [  31/ 125] time: 231.5483, d_loss: 0.00000000, g_loss: 55.02182388
Epoch: [ 0] Step: [  32/ 125] time: 237.7595, d_loss: 9.43312454, g_loss: -7.46976566
